Nombre del Planeta,Estrella Huesped,Numero de Estrellas,Numero de Planetas,Metodo de Descubrimiento,Año de Descubrimiento,Periodo Orbital (Dias),Semieje Mayor (UA),Radio del Planeta (Radios Terrestres),MPX Sen(I)(Masas Terrestres),Excentricidad,Temperatura de Equilibrio,Tipo Espectral,Temperatura Estelar efectiva,Radio Estelar (Radios Solares),Masa Estelar (Masas Solares),Metalicidad Estelar Corregido
11 Com b,11 Com,2,1,Radial Velocity,2007,323.21,1.178000,12.2,4914.89849,0.238000,,G8 III,4874.00,13.76,2.09,-0.26
11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.21997,1.530000,12.3,4684.81420,0.080000,,K4 III,4213.00,29.79,2.78,-0.02
14 And b,14 And,1,1,Radial Velocity,2008,186.76,0.775000,13.1,1131.15130,0.000000,,K0 III,4888.00,11.55,1.78,-0.21
14 Her b,14 Her,1,2,Radial Velocity,2002,1765.0389,2.774000,12.6,2559.47216,0.373000,,K0 V,5338.00,0.93,0.91,405
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.5,1.660000,13.5,565.73740,0.680000,,G3 V,5750.00,1.13,1.08,0.06
17 Sco b,17 Sco,1,1,Radial Velocity,2020,578.38,1.450000,12.9,1373.01872,0.060000,,K3 III,4157.00,25.92,1.22,-0.01
18 Del b,18 Del,2,1,Radial Velocity,2008,982.85,2.476000,12.5,2926.24614,0.024000,,G6 III,4980.00,8.80,2.10,-0.06
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,,330.000000,18647,3000.00000,,1700,K7 V,4060.00,1.31,0.85,0
24 Boo b,24 Boo,1,1,Radial Velocity,2018,30.33,0.194000,13.9,280.64248,0.032000,,G3 IV,4816.00,12.19,1.05,-0.78
24 Sex b,24 Sex,1,2,Radial Velocity,2010,452.8,1.333000,13.4,632.46000,0.090000,,K0 IV,5098.00,4.90,1.54,-0.03
24 Sex c,24 Sex,1,2,Radial Velocity,2010,883.0,2.080000,13.9,273.32000,0.290000,,K0 IV,5098.00,4.90,1.54,-0.03
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,,118.000000,13,1271.31363,,1450,M V,3100.00,0.84,0.17,0.01
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,,84.000000,12.3,4131.79000,,,M5.5/M6,,,0.19,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,,52.000000,11209,7786.50000,,1600,M3.5 V,3530.00,0.37,0.40,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,,156.000000,16141,4417.83700,,,M6,3064.00,0.28,0.11,0
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,Imaging,2018,,1950.000000,12.4,3686.80952,,,M6 V,2859.00,0.32,0.05,0
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,Imaging,2024,0.0,,#¡VALOR!,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,#¡VALOR!
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,,15.000000,12.6,2383.60000,,,M8.5,2936.00,0.23,0.02,0
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,Imaging,2024,0.0,,0,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,,,,,,0
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,Imaging,2024,0.0,,#¡VALOR!,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,#¡VALOR!
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,,55.000000,12.9,1589.15000,,1250,M8,2825.00,0.22,0.02,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,406.0,0.920000,13.4,603.87700,0.330000,,,29564.00,0.20,0.48,-92
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,Imaging,2024,0.0,,#¡VALOR!,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,#¡VALOR!
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,,230.000000,12.3,3972.87500,,,K7 V,4045.00,0.64,0.60,0
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,335.10001,0.990000,12.3,4392.41060,0.290000,,F6 V,6331.00,1.41,1.93,0.19
4 UMa b,4 UMa,1,1,Radial Velocity,2006,270.27,0.877000,12.6,2511.48007,0.453000,,K1 III,4415.00,18.11,1.23,-0.25
42 Dra b,42 Dra,2,1,Radial Velocity,2008,479.1,1.190000,13,1233.13000,0.380000,,K1.5 III,4200.00,22.03,0.98,-0.46
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078.0,2.100000,13.2,804.08000,0.032000,,G0 V,5872.00,1.21,1.06,0.04
47 UMa c,47 UMa,1,3,Radial Velocity,2001,2391.0,3.600000,14.2,171.62100,0.098000,,G1 V,5872.00,1.21,1.06,0.04
47 UMa d,47 UMa,1,3,Radial Velocity,2009,0.0,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp Fischer 2010 </a>,#¡VALOR!,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,,,<a refstr=TURNBULL_2015 href=https://ui.adsabs.harvard.edu/abs/2015arXiv151001731T/abstract target=ref>Turnbull 2015</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,#¡VALOR!
51 Eri b,51 Eri,3,1,Imaging,2015,11688.0,13.200000,13.4,635.66000,0.450000,700,F0 IV,7295.00,1.49,1.75,-27
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.230785,0.052700,14.3,146.20180,0.013000,,G5V,5758.00,1.18,1.03,0.18
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.6516,0.113400,13.9,263.97850,0.000000,700,K0 IV-V,5172.00,0.94,0.91,0.35
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,44.3989,0.237300,8.51,54.47380,0.030000,,G8V,5172.00,0.94,0.91,0.35
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,5574.2,5.957000,13,1232.49300,0.130000,,G8 V,5172.00,0.94,0.91,0.35
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.7365474,0.015440,1875,7.99000,0.050000,1958,G8 V,5172.00,0.94,0.91,0.35
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,259.88,0.770800,7.59,44.81200,0.080000,,G8V,5172.00,0.94,0.91,0.35
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,919.86,2.028000,13.4,597.83523,0.042000,,K0 IV,4941.00,4.94,1.32,-0.17
61 Vir b,61 Vir,1,3,Radial Velocity,2009,4.215,0.050201,2.11,5.10000,0.120000,,G5 V,5577.00,0.96,0.94,-0.01
61 Vir c,61 Vir,1,3,Radial Velocity,2009,38.021,0.217500,4.46,18.20000,0.140000,,G5 V,5577.00,0.96,0.94,-0.01
61 Vir d,61 Vir,1,3,Radial Velocity,2009,123.01,0.476000,5.11,22.90000,0.350000,,G5 V,5577.00,0.96,0.94,-0.01
7 CMa b,7 CMa,1,2,Radial Velocity,2011,735.1,1.758000,13.4,587.98550,0.060000,,K1 III,4826.00,4.87,1.34,0.21
7 CMa c,7 CMa,1,2,Radial Velocity,2019,996.0,2.153000,13.9,276.51210,0.080000,,K1III(+M),4826.00,4.87,1.34,0.21
70 Vir b,70 Vir,1,1,Radial Velocity,1996,116.688,0.481000,12.6,2380.45000,0.398800,,G5V,5495.00,1.89,1.09,-0.09
75 Cet b,75 Cet,2,2,Radial Velocity,2012,696.62,1.912000,13.3,787.89662,0.093000,,G3 III,4809.00,10.38,1.92,0.1
75 Cet c,75 Cet,2,2,Radial Velocity,2023,2051.62,3.929000,13.9,289.85951,0.023000,,G3 III,4809.00,10.38,1.92,0.1
8 UMi b,8 UMi,1,1,Radial Velocity,2015,93.4,0.490000,13.6,416.35730,0.060000,,K0,4847.00,10.30,1.44,-0.03
81 Cet b,81 Cet,1,1,Radial Velocity,2008,1005.57,2.104000,13.1,1051.05854,0.037000,,G5 III,4734.00,11.21,1.23,-0.11
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,181.4,0.700000,13.1,1017.00000,0.027000,,K0 III,4665.00,11.00,1.40,-0.03
AB Aur b,AB Aur,1,1,Imaging,2022,,93.900000,12.5,2860.45566,0.400000,,,9770.00,2.96,2.40,0
AB Pic b,AB Pic,1,1,Imaging,2005,,260.000000,12.3,4290.50000,,,K2 V,5285.00,1.00,0.90,0.04
AF Lep b,AF Lep,1,1,Imaging,2023,8030.0,8.400000,13.1,1017.05090,0.240000,1400,F8 V,6130.00,1.25,1.20,0.19
AU Mic b,AU Mic,1,3,Transit,2020,8.46308,0.064900,3957,20.12000,0.005770,600,M1,3678.00,0.74,0.51,0.23
AU Mic c,AU Mic,1,3,Transit,2021,18.85969,0.110800,2522,9.60000,0.003380,459,M1,3678.00,0.74,0.51,0.23
AU Mic d,AU Mic,1,3,Transit Timing Variations,2023,12.73596,,1.02,1.05300,0.003050,,M1,3678.00,0.74,0.51,0.23
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,481.9,1.300000,12.7,2034.11200,0.200000,,,4095.00,32.35,1.14,-0.71
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,268.94,0.780000,13.8,330.54320,0.290000,,K2 V,4864.00,0.86,0.49,0.17
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,153.22,0.576000,13.8,337.21763,0.001000,,G5,4649.00,8.95,1.08,-0.22
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,137.48,0.539000,13.7,352.78000,0.260000,,K0,4796.00,14.70,1.10,0.28
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,379.63,1.450000,12.1,6807.63000,0.150000,,K2 II,4137.00,49.00,2.80,-1
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,621.99,2.010000,12.4,3963.17000,0.180000,,K2 II,4137.00,49.00,2.80,-1
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,578.2,1.300000,13,1334.88600,0.210000,,K5 III,4296.00,17.30,0.80,-0.46
BD+20 594 b,BD+20 594,1,1,Transit,2016,41.6855,0.241000,2578,22.24810,0.000000,546,G,5766.00,1.08,1.67,-0.15
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,307.88,0.830000,13.6,432.24663,0.120000,,K1,5004.00,0.81,0.81,-0.09
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,392.6,1.000000,13.9,289.22530,0.200000,,K0 III,4414.00,11.00,0.74,-0.2
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,0.0,<a refstr=ADAM_OACUTE_W_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..47A/abstract target=ref>Adam&oacutew et al. 2018</a>,#¡VALOR!,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,,,<a refstr=ADAMS_ET_AL__1935 href=https://ui.adsabs.harvard.edu/abs/1935ApJ....81..187A/abstract target=ref>Adams et al. 1935</a>,<a refstr=ADAM_OACUTE_W_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..47A/abstract target=ref>Adam&oacutew et al. 2018</a>,<a refstr=ADAM_OACUTE_W_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..47A/abstract target=ref>Adam&oacutew et al. 2018</a>,#¡VALOR!
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,2590.0,4.200000,13.5,508.50000,0.350000,,K0,4943.00,7.60,1.52,-0.19
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,265.59,0.780000,14,228.83645,0.270000,,K3,5012.00,0.90,0.91,0.18
BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,,1662.000000,14684,4767.42610,,1303,K0,4993.00,0.80,1.00,0
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,1198.48,2.060000,12.4,3305.41543,0.880000,,K0,5000.00,0.80,0.82,-0.09
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,3.8728,0.042800,2.85,8.50000,0.000000,,K7/M0 V,4324.00,0.69,0.70,-0.14
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,125.94,0.435000,8.38,53.00000,0.310000,,K7/M0 V,4324.00,0.69,0.70,-0.14
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,#¡VALOR!,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,,,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacutebrard et al. 2010 </a>,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,#¡VALOR!
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,0.0,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacutebrard et al. 2010 </a>,#¡VALOR!,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,,,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacutebrard et al. 2010 </a>,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacutebrard et al. 2010 </a>,<a refstr=GAIA_COLLABORATION_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...616A...1G/abstract target=ref>Gaia DR2</a>,#¡VALOR!
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,3.48777,0.040000,14.1,187.51970,0.020000,,K0 V,5393.00,0.91,1.47,0.38
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,1634.0,2.360000,14.1,206.58950,0.050000,,K7 V,4550.00,0.64,0.65,-0.35
BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,74.2,0.300000,4.04,15.37000,0.400000,,K7V,4550.00,0.64,0.65,-0.35
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,714.29999,1.660000,12.5,3108.37740,0.210000,,G5 IV/V,4545.00,19.17,2.12,-0.08
BD-14 3065 b,BD-14 3065 A,3,1,Transit,2024,0.0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaronubjak et al. 2024</a>,#¡VALOR!,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaronubjak et al. 2024</a>,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaronubjak et al. 2024</a>,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaronubjak et al. 2024</a>,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaronubjak et al. 2024</a>,#¡VALOR!
BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,655.57,1.340000,12.8,1639.99458,0.543900,,K5 V,4714.00,0.74,0.74,-0.03
BD-210397 b,BD-210397,1,2,Radial Velocity,2023,1891.0,2.630000,14,214.00000,0.100000,,K7 V,4051.00,0.75,0.68,0.12
BD-210397 c,BD-210397,1,2,Radial Velocity,2023,6240.0,5.900000,12.9,1525.57635,0.430000,,K7 V,4051.00,0.75,0.69,0.12
Barnard b,Barnard's star,1,1,Radial Velocity,2024,3.1533,0.022940,764,0.37000,0.160000,400,M3.5-4 V,3195.00,0.18,0.16,-0.56
CD Cet b,CD Cet,1,1,Radial Velocity,2020,2.2907,0.018500,1.82,3.95000,,464,M5.0 V,3130.00,0.17,0.16,0.13
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,10037.5,2.600000,12.4,3337.10000,,370,,580.50,,0.02,0
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,8040000.0,200.000000,20849,2479.06157,,1800,M9-L1,2320.00,0.24,0.01,0
CHXR 73 b,CHXR 73,1,1,Imaging,2006,,210.000000,12.3,3994.48600,,,M3.5,3099.00,,0.35,0
CI Tau c,CI Tau,1,1,Radial Velocity,2024,25.2,0.170000,13,1144.18227,0.580000,,K7,3807.00,1.88,0.90,0
COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,402000000.0,7506.000000,12442,2542.62726,,434,M3 V,3406.00,0.39,0.37,0
CT Cha b,CT Cha,1,1,Imaging,2007,,440.000000,24.66,5403.00000,,2600,K5e,4403.00,1.68,,-0.56
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,1.5089557,0.027520,16.7,327.35000,0.000000,1898,G0 V,5950.00,1.11,0.95,-0.3
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,13.2406,0.105500,10.87,874.00000,0.530000,600,K1 V,4921.00,0.79,0.90,0.26
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,2.99433,0.043600,16.03,740.51000,0.000000,1657,F6 V,6440.00,1.37,1.27,-0.03
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,2.828042,0.040160,16.14,291.43800,0.070000,1442,,5675.00,1.05,1.08,0.16
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,4.03519,0.051000,9.92,415.70400,0.000000,1700,G0 V,5945.00,1.01,1.09,0.01
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,1.51214,0.027000,12.22,2415.40000,0.000000,1952,F9 V,6035.00,1.21,1.13,0.05
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,5.35227,0.061800,13.11,170.03200,0.330000,,G5 V,5650.00,1.19,1.10,0.19
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,3.7681,0.046100,11.43,772.29000,0.000000,1626,G2 V,5740.00,1.59,1.04,0
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,1.9000693,0.029500,14.68,1102.82000,0.080000,1550,G9 V,5440.00,0.88,0.86,-0.1
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,3.89713,0.051800,14.46,352.78000,0.047000,2000,F9 V,6090.00,1.65,1.21,-0.02
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,1.7429935,0.027980,16432,1102.82000,0.014300,1521,,5625.00,0.91,0.96,0.04
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,9.24285,0.090000,9416,1366.66900,0.590000,1024,G2 V,4947.50,1.37,1.14,0.14
CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,1675.0,2.900000,12.2,5403.11000,0.600000,,,4947.50,1.37,1.14,0.14
CoRoT-21 b,CoRoT-21,1,1,Transit,2012,0.0,<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&aumltzold et al. 2012</a>,#¡VALOR!,<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&aumltzold et al. 2012</a>,<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&aumltzold et al. 2012</a>,,,<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&aumltzold et al. 2012</a>,<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&aumltzold et al. 2012</a>,<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&aumltzold et al. 2012</a>,#¡VALOR!
CoRoT-22 b,CoRoT-22,1,1,Transit,2014,9.75598,0.092000,4.88,12.20000,0.077000,885,G3 V,5939.00,1.14,1.10,0.17
CoRoT-23 b,CoRoT-23,1,1,Transit,2011,3.6313,0.048000,11.77,889.90000,0.160000,1660,G0 V,5900.00,1.61,1.14,0.05
CoRoT-24 b,CoRoT-24,1,2,Transit,2014,5.1134,0.056000,3.7,5.70000,0.000000,1070,K1 V,4950.00,0.86,0.91,0.3
CoRoT-24 c,CoRoT-24,1,2,Transit,2014,11.759,0.098000,5,28.00000,0.000000,850,K1 V,4950.00,0.86,0.91,0.3
CoRoT-25 b,CoRoT-25,1,1,Transit,2013,4.86069,0.057800,12.11,85.81000,0.000000,1330,F9,6040.00,1.19,1.09,-0.01
CoRoT-26 b,CoRoT-26,1,1,Transit,2013,4.20474,0.052600,14.12,165.26000,0.000000,1600,G5,5590.00,1.79,1.09,0.01
CoRoT-27 b,CoRoT-27,1,1,Transit,2014,3.57532,0.047600,11287,3302.11000,0.065000,1500,G2,5900.00,1.08,1.05,-0.1
CoRoT-28 b,CoRoT-28,1,1,Transit,2015,5.20851,0.060300,10705,153.82972,0.047000,,G8/9 IV,5150.00,1.78,1.01,0.15
CoRoT-29 b,CoRoT-29,1,1,Transit,2015,2.85057,0.038600,10088,270.15550,0.082000,,K0 V,5260.00,0.90,0.97,0.2
CoRoT-3 b,CoRoT-3,1,1,Transit,2008,4.2568,0.057830,11.32,6883.91000,0.000000,1695,F3 V,6740.00,1.56,1.37,0.14
CoRoT-30 b,CoRoT-30,1,1,Transit,2020,0.0,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute et al. 2020</a>,#¡VALOR!,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute et al. 2020</a>,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute et al. 2020</a>,,,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute et al. 2020</a>,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute et al. 2020</a>,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute et al. 2020</a>,#¡VALOR!
CoRoT-31 b,CoRoT-31,1,1,Transit,2020,0.0,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute et al. 2020</a>,#¡VALOR!,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute et al. 2020</a>,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute et al. 2020</a>,,,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute et al. 2020</a>,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute et al. 2020</a>,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute et al. 2020</a>,#¡VALOR!
CoRoT-35 b,CoRoT-35,1,1,Transit,2022,3.22748,0.042900,18831,349.61125,0.000000,1747,F6 V,6390.00,1.65,1.01,-0.5
CoRoT-36 b,CoRoT-36,1,1,Transit,2022,5.616531,0.066000,15805,216.12332,0.000000,1567,F3 V,6730.00,1.52,1.32,-0.1
CoRoT-4 b,CoRoT-4,1,1,Transit,2008,9.20205,0.090000,13.34,228.83000,0.000000,1074,,6190.00,1.17,1.16,0.05
CoRoT-5 b,CoRoT-5,1,1,Transit,2009,4.0378962,0.049470,15558,148.42000,0.090000,1438,F9 V,6254.00,1.11,1.00,-0.25
CoRoT-6 b,CoRoT-6,1,1,Transit,2009,8.886593,0.085500,13068,940.74000,0.100000,1017,F9 V,6090.00,1.03,1.05,-0.2
CoRoT-7 b,CoRoT-7,1,3,Transit,2009,0.85359163,0.017016,1681,4.07661,0.000000,1756,G9 V,5275.00,0.83,0.82,0.05
CoRoT-7 c,CoRoT-7,1,3,Radial Velocity,2009,3.698,0.046000,2.83,8.40000,0.000000,,G9 V,5256.00,0.86,0.90,0.06
CoRoT-7 d,CoRoT-7,1,3,Radial Velocity,2022,8.966,,4.31,17.14200,,,G9 V,5250.00,0.84,0.92,0.02
CoRoT-8 b,CoRoT-8,1,1,Transit,2010,6.21229,0.063000,6.39,69.92000,0.000000,870,K1 V,5080.00,0.80,0.89,0.3
