Nombre del Planeta,Estrella Huesped,Numero de Estrellas,Numero de Planetas,Metodo de Descubrimiento,Año de Descubrimiento,Periodo Orbital (Dias),Semieje Mayor (UA),Radio del Planeta (Radios Terrestres),MPX Sen(I)(Masas Terrestres),Excentricidad,Temperatura de Equilibrio,Tipo Espectral,Temperatura Estelar efectiva,Radio Estelar (Radios Solares),Masa Estelar (Masas Solares),Metalicidad Estelar Corregido
Kepler-1336 c,Kepler-1336,1,2,Transit,2016,5.77721211,0.062720,1.71,3.57000,0.000000,1260,,5512.00,1.30,0.94,0.05
Kepler-1337 b,Kepler-1337,1,1,Transit,2016,24.4002549,0.144100,2.41,6.39000,0.000000,437,,4523.00,0.67,0.70,-0.09
Kepler-1338 b,Kepler-1338,1,1,Transit,2016,0.93511806,0.019370,0.92,0.72100,0.000000,2124,,5909.00,1.05,1.04,0
Kepler-1339 b,Kepler-1339,1,1,Transit,2016,1.34155513,0.023560,0.71,0.28500,0.000000,1642,,5586.00,0.93,0.94,0.01
Kepler-134 b,Kepler-134,1,2,Transit,2014,5.317429,0.060000,2,4.66000,0.000000,1105,,5983.00,1.18,0.96,-207
Kepler-134 c,Kepler-134,1,2,Transit,2014,10.105785,0.092000,1.26,2.13000,0.000000,892,,5983.00,1.18,0.96,-207
Kepler-1340 b,Kepler-1340,1,1,Transit,2016,0.66502692,0.015230,1.55,3.02000,0.000000,2174,,6331.00,1.42,1.27,0.07
Kepler-1341 b,Kepler-1341,2,1,Transit,2016,132.9968322,0.472670,2.99,9.22000,0.000000,241,,4662.00,0.72,0.79,0.19
Kepler-1342 b,Kepler-1342,1,1,Transit,2016,2.21571036,0.031300,1.66,3.39000,0.000000,1283,,5527.00,0.90,0.93,0.03
Kepler-1343 b,Kepler-1343,1,1,Transit,2016,3.35183158,0.044900,1.93,4.38000,0.000000,1294,,5759.00,0.93,0.95,-0.16
Kepler-1344 b,Kepler-1344,1,1,Transit,2016,4.7683049,0.055010,1.84,4.04000,0.000000,1219,,5981.00,1.13,1.09,0.06
Kepler-1345 b,Kepler-1345,1,1,Transit,2016,44.6169557,0.264120,2.36,6.17000,0.000000,693,,6449.00,1.55,1.32,0.04
Kepler-1346 b,Kepler-1346,1,1,Transit,2016,3.40165668,0.044000,1.58,3.12000,0.000000,1236,,6133.00,1.21,1.14,0.04
Kepler-1347 b,Kepler-1347,1,1,Transit,2016,14.00947528,0.104000,1.03,1.08000,0.000000,617,,5193.00,0.79,0.82,-0.11
Kepler-1348 b,Kepler-1348,1,1,Transit,2016,27.5722742,0.183400,1.94,4.42000,0.000000,636,,5911.00,1.04,1.04,-0.01
Kepler-1349 b,Kepler-1349,1,1,Transit,2016,2.12823928,0.034210,0.7,0.27100,0.000000,1668,,6086.00,1.28,1.16,0.03
Kepler-135 b,Kepler-135,1,2,Transit,2014,6.00253,0.067000,1.81,3.93000,0.000000,1209,,6090.00,1.28,1.05,-105
Kepler-135 c,Kepler-135,1,2,Transit,2014,11.448708,0.103000,1.16,1.65000,0.000000,975,,6090.00,1.28,1.05,-105
Kepler-1350 b,Kepler-1350,1,2,Transit,2016,4.4968604,0.041300,2.52,6.90000,0.000000,535,,3827.00,0.53,0.55,-0.06
Kepler-1350 c,Kepler-1350,1,2,Transit,2016,1.76678906,0.022200,1.73,3.64000,0.000000,730,,3827.00,0.53,0.55,-0.06
Kepler-1351 b,Kepler-1351,1,1,Transit,2016,0.91614077,0.015600,0.65,0.20800,0.000000,1212,,4439.00,0.67,0.70,-0.03
Kepler-1352 b,Kepler-1352,1,1,Transit,2016,1.87788275,0.028830,0.89,0.64000,0.000000,1701,,6118.00,1.16,1.11,0
Kepler-1353 b,Kepler-1353,1,1,Transit,2016,24.7543966,0.153000,1.8,3.89000,0.000000,491,,4776.00,0.72,0.76,-0.06
Kepler-1354 b,Kepler-1354,1,1,Transit,2016,76.613377,0.352100,2.97,9.11000,0.000000,466,,6168.00,1.24,1.16,0.03
Kepler-1355 b,Kepler-1355,1,1,Transit,2016,1.28958811,0.022400,1.46,2.73000,0.000000,1448,,5352.00,0.83,0.88,-0.04
Kepler-1356 b,Kepler-1356,1,1,Transit,2016,0.63400294,0.013600,1.53,2.96000,0.000000,1714,,5106.00,0.78,0.82,-0.02
Kepler-1357 b,Kepler-1357,1,1,Transit,2016,3.0091324,0.041000,1.28,2.18000,0.000000,1177,,5597.00,0.90,0.93,-0.06
Kepler-1358 b,Kepler-1358,1,1,Transit,2016,7.06317341,0.065600,1.12,1.46000,0.000000,827,,5181.00,0.79,0.82,-0.08
Kepler-1359 b,Kepler-1359,1,1,Transit,2016,59.4970952,0.266570,2.83,8.40000,0.000000,369,,4709.00,0.72,0.78,0.11
Kepler-136 b,Kepler-136,2,2,Transit,2014,11.5789,0.106000,2.05,19.80000,0.000000,951,,6165.00,1.35,1.20,0
Kepler-136 c,Kepler-136,2,2,Transit,2014,16.399235,0.133000,1.99,4.62000,0.000000,847,,6165.00,1.35,1.20,0
Kepler-1360 b,Kepler-1360,1,1,Transit,2016,40.5286413,0.286600,3.4,11.50000,0.000000,933,,6778.00,1.83,1.51,0.06
Kepler-1361 b,Kepler-1361,1,1,Transit,2016,3.57554956,0.043040,0.86,0.56600,0.000000,1061,,5131.00,0.79,0.83,0
Kepler-1362 b,Kepler-1362,1,1,Transit,2016,136.205626,0.462600,2.6,7.27000,0.000000,248,,4857.00,0.74,0.80,0.06
Kepler-1363 b,Kepler-1363,1,1,Transit,2016,2.94194094,0.036300,1.25,2.10000,0.000000,988,,4839.00,0.72,0.76,-0.09
Kepler-1364 b,Kepler-1364,1,1,Transit,2016,13.32196237,0.128400,2.15,5.27000,0.000000,1299,,6805.00,1.79,1.49,0.04
Kepler-1365 b,Kepler-1365,1,2,Transit,2016,7.69993485,0.078390,0.92,0.72100,0.000000,969,,5770.00,1.05,1.00,0.03
Kepler-1365 c,Kepler-1365,1,2,Transit,2016,4.77468005,0.057010,0.8,0.43700,0.000000,1137,,5770.00,1.05,1.00,0.03
Kepler-1366 b,Kepler-1366,1,1,Transit,2016,2.16457097,0.027300,1.43,2.63000,0.000000,783,,4070.00,0.60,0.62,-0.02
Kepler-1367 b,Kepler-1367,1,1,Transit,2016,1.57409027,0.023600,0.92,0.72100,0.000000,998,,4106.00,0.60,0.62,-0.06
Kepler-1368 b,Kepler-1368,1,1,Transit,2016,0.67564949,0.015300,1.65,3.36000,0.000000,2085,,5906.00,1.08,1.07,0.1
Kepler-1369 b,Kepler-1369,1,1,Transit,2016,25.873148,0.174100,2.69,7.70000,0.000000,667,,5761.00,0.99,0.99,0
Kepler-137 b,Kepler-137,1,2,Transit,2014,8.436387,0.077000,1.47,2.76000,0.000000,742,,5187.00,0.80,0.85,0.05
Kepler-137 c,Kepler-137,1,2,Transit,2014,18.735753,0.130000,1.88,4.19000,0.000000,568,,5187.00,0.80,0.85,0.05
Kepler-1370 b,Kepler-1370,1,2,Transit,2016,20.2641684,0.157630,1.84,4.04000,0.000000,770,,6202.00,1.29,1.19,0.05
Kepler-1370 c,Kepler-1370,1,2,Transit,2016,7.44142113,0.080840,1.27,2.15000,0.000000,1075,,6202.00,1.29,1.19,0.05
Kepler-1371 b,Kepler-1371,1,2,Transit,2016,3.4462039,0.042140,0.73,0.31500,0.000000,1015,,5361.00,0.83,0.87,-0.07
Kepler-1371 c,Kepler-1371,1,2,Transit,2016,2.00541269,0.029370,0.64,0.19600,0.000000,1216,,5361.00,0.83,0.87,-0.07
